X,CellID,ClusterID,EventID,File.Name,Region,TMA_AB,TMA_12,Index.in.File,groups,patients,spots,CD44...stroma.Cyc_2_ch_2,FOXP3...regulatory.T.cells.Cyc_2_ch_3,CD8...cytotoxic.T.cells.Cyc_3_ch_2,p53...tumor.suppressor.Cyc_3_ch_3,GATA3...Th2.helper.T.cells.Cyc_3_ch_4,CD45...hematopoietic.cells.Cyc_4_ch_2,T.bet...Th1.cells.Cyc_4_ch_3,beta.catenin...Wnt.signaling.Cyc_4_ch_4,HLA.DR...MHC.II.Cyc_5_ch_2,PD.L1...checkpoint.Cyc_5_ch_3,Ki67...proliferation.Cyc_5_ch_4,CD45RA...naive.T.cells.Cyc_6_ch_2,CD4...T.helper.cells.Cyc_6_ch_3,CD21...DCs.Cyc_6_ch_4,MUC.1...epithelia.Cyc_7_ch_2,CD30...costimulator.Cyc_7_ch_3,CD2...T.cells.Cyc_7_ch_4,Vimentin...cytoplasm.Cyc_8_ch_2,CD20...B.cells.Cyc_8_ch_3,LAG.3...checkpoint.Cyc_8_ch_4,Na.K.ATPase...membranes.Cyc_9_ch_2,CD5...T.cells.Cyc_9_ch_3,IDO.1...metabolism.Cyc_9_ch_4,Cytokeratin...epithelia.Cyc_10_ch_2,CD11b...macrophages.Cyc_10_ch_3,CD56...NK.cells.Cyc_10_ch_4,aSMA...smooth.muscle.Cyc_11_ch_2,BCL.2...apoptosis.Cyc_11_ch_3,CD25...IL.2.Ra.Cyc_11_ch_4,CD11c...DCs.Cyc_12_ch_3,PD.1...checkpoint.Cyc_12_ch_4,Granzyme.B...cytotoxicity.Cyc_13_ch_2,EGFR...signaling.Cyc_13_ch_3,VISTA...costimulator.Cyc_13_ch_4,CD15...granulocytes.Cyc_14_ch_2,ICOS...costimulator.Cyc_14_ch_4,Synaptophysin...neuroendocrine.Cyc_15_ch_3,GFAP...nerves.Cyc_16_ch_2,CD7...T.cells.Cyc_16_ch_3,CD3...T.cells.Cyc_16_ch_4,Chromogranin.A...neuroendocrine.Cyc_17_ch_2,CD163...macrophages.Cyc_17_ch_3,CD45RO...memory.cells.Cyc_18_ch_3,CD68...macrophages.Cyc_18_ch_4,CD31...vasculature.Cyc_19_ch_3,Podoplanin...lymphatics.Cyc_19_ch_4,CD34...vasculature.Cyc_20_ch_3,CD38...multifunctional.Cyc_20_ch_4,CD138...plasma.cells.Cyc_21_ch_3,cell_id.cell_id,tile_nr.tile_nr,X.X,Y.Y,X_withinTile.X_withinTile,Y_withinTile.Y_withinTile,Z.Z,size.size,HOECHST1.Cyc_1_ch_1,CDX2...intestinal.epithelia.Cyc_2_ch_4,Collagen.IV...bas..memb..Cyc_12_ch_2,CD194...CCR4.chemokine.R.Cyc_14_ch_3,MMP9...matrix.metalloproteinase.Cyc_15_ch_2,CD71...transferrin.R.Cyc_15_ch_4,CD57...NK.cells.Cyc_17_ch_4,MMP12...matrix.metalloproteinase.Cyc_21_ch_4,DRAQ5.Cyc_23_ch_4,Profile_Homogeneity.Fiter1,ClusterSize,ClusterName,neighborhood10,CD4.ICOS.,CD4.Ki67.,CD4.PD.1.,CD68.CD163.ICOS.,CD68.CD163.Ki67.,CD68.CD163.PD.1.,CD68.ICOS.,CD68.Ki67.,CD68.PD.1.,CD8.ICOS.,CD8.Ki67.,CD8.PD.1.,Treg.ICOS.,Treg.Ki67.,Treg.PD.1.,neighborhood.number.final,neighborhood.name
18755,18755,10668,216940,reg058_A,reg058,A,1,160,1,29,58_A,416.4801636,280.8493347,209.0228577,946.956665,153.475296,0,448.129303,1423.382935,0,154.5999298,14.94499016,269.1403809,90.66746521,162.2254028,0,77.86551666,47.60013962,327.9655457,0,66.49465179,0,423.69104,285.7698669,0,2802.946289,482.9799805,0.101087593,45.95583344,123.8417511,48.89530182,203.0387421,0,680.5374756,366.846283,971.317749,96.3775177,0,7.010394096,0,102.811203,0,121.646347,91.34254456,224.4268799,0,9.442616463,6.690256596,59.64471054,0,216,58,204,532,204,532,10,2605,1340.453735,90.3684082,0,2793.74292,35.87611008,1908.680664,19.81349945,42.26004028,2103.025391,5.79096508,22144,granulocytes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Macrophage enriched
18756,18756,10668,216984,reg058_A,reg058,A,1,204,1,29,58_A,770.0670166,423.1044312,477.1453247,1030.745972,123.8649521,23.50643921,401.1608887,1373.648071,0.708560944,125.0360413,61.83549118,312.9251404,184.1888733,349.9149475,4.80050993,215.6920471,51.11030579,516.7166748,2.26e-05,76.38892365,0.152641684,366.7587585,149.7373962,1.55e-05,5013.616699,856.4584351,0.034729954,27.14528656,139.8266144,86.02390289,542.5489502,0.208896101,884.2415161,911.7890015,3690.39624,139.0658417,0.475771606,216.3003693,0.618107021,137.2758331,0.116780996,420.0110474,184.0329132,851.8030396,0.000261,10.55665112,6.414136887,68.97695923,2.265302658,263,58,216,503,216,503,10,2278,6014.385742,136.869339,0.023768784,5335.54834,37.64707565,758.59729,25.08363533,6.080894947,8609.256836,5.461168289,22144,granulocytes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Macrophage enriched
18757,18757,10668,217156,reg058_A,reg058,A,1,376,1,29,58_A,404.3998718,179.6419983,21.26796341,13.60825348,35.86843491,42.45723724,0,298.3039551,0.134226173,0,1.971838474,22.55438614,0,59.49103165,0.167053029,0,18.65066338,0,0.005377979,27.92321396,1.338744283,0,77.442276,0,876.8202515,239.3110962,0.120654427,0,33.04354095,0,99.00534821,0,0,0,0,0,0,2.901058197,1.883183599,15.77872086,1.416708231,67.28395081,3.295429945,120.1050186,0,3.715078831,0,15.44535828,0.63210541,462,58,373,132,373,132,10,833,1510.94397,106.7927399,0,0,1.634236217,874.1851807,7.882348061,0,1712.810669,5.181857586,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
18758,18758,10668,217208,reg058_A,reg058,A,1,428,1,29,58_A,105.4641266,48.74103165,7.709641457,224.0201721,270.6221924,7.544843197,56.0582962,1022.96637,1.041479826,25.17825127,3.646861076,290.5672607,56.80157089,109.1491013,1.450672626,25.13452911,24.66928291,40.46973038,0,45.93722153,0.322869956,63.46300507,97.12892151,0,1678.587402,475.7466431,0.273542613,10.20403576,79.46524811,28.7443943,244.8845367,1.140134573,54.15022278,183.7903595,193.4786987,75.51345062,0,0,0,74.45291138,0,721.4831543,75.91815948,155.9417114,0.209641263,6.209641457,2.56278038,23.87331772,0,528,58,411,624,411,624,7,892,3757.913574,119.0986557,0.513452888,2364.873291,0.399103135,6044.441895,14.77242184,69.52466583,5241.029297,5.335507393,22144,granulocytes,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Tumor boundary
18759,18759,10668,217209,reg058_A,reg058,A,1,429,1,29,58_A,643.9390869,482.0772705,285.8262939,1120.047485,183.6153717,29.78847122,428.9755554,1228.919067,13.09448814,208.5270691,22.75461388,586.6460571,130.1674194,248.7472992,25.57633781,167.957962,49.72894669,207.3783569,0.578425586,75.17964935,12.67112637,238.2585907,126.8939514,0.338432312,3805.239502,668.117981,7.458815575,50.73715973,154.6739807,55.21944046,354.2045593,7.035428047,818.3538818,283.2391357,1861.53772,74.0072403,0.064730003,30.18015862,0.001782415,148.5727844,1.196049452,92.83615112,191.9029541,544.4854736,14.39837837,12.26733017,14.13139629,68.61951447,2.787322521,529,58,416,475,416,475,9,3276,4022.200928,236.6997528,2.671617746,3431.772705,9.484452248,3298.884766,27.87615776,12.10010338,5068.048828,5.557668686,22144,granulocytes,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Tumor boundary
18760,18760,10668,217213,reg058_A,reg058,A,1,433,1,29,58_A,598.2854004,410.5369568,190.7015839,942.8378906,111.4072113,69.68752289,515.3441772,1128.727661,3.229114056,124.0276108,6.137673855,293.6981201,102.0865097,292.4446411,15.36736488,92.48510742,37.04286194,456.1104126,0.140892312,59.54627991,9.829255104,380.559967,108.9114456,0.328681588,1552.689209,319.7373352,1.242753267,57.11447906,182.1136017,135.7029114,206.7207489,0.310046017,794.4355469,422.9509888,0,94.02307129,0,5.598133087,0.326994628,8.552957535,0.5287292,918.5618286,144.7185669,777.8971558,0,7.812073708,10.13542366,59.62688446,1.221902609,533,58,395,1077,395,1077,11,1420,2380.622803,80.68634796,2.775466442,1644.02356,0,1204.205933,17.52310371,21.49496841,2755.681641,5.668453217,22144,granulocytes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Macrophage enriched
18761,18761,10668,217767,reg058_A,reg058,A,1,987,1,29,58_A,274.5814819,229.1123962,360.1753845,450.9795837,100.0469437,2.093403339,243.220871,805.2612305,0.51692766,59.6097641,22.42556572,186.2179718,91.63665771,135.0139008,22.34606552,96.46872711,33.74416733,656.8440552,0,52.19131851,0,157.3658447,72.3587265,0,2958.983154,516.4776001,8.483858109,21.90829849,86.20141602,23.19728851,219.5826111,3.305341721,530.9144287,211.45047,3127.491211,46.38892746,0,46.47647858,0,96.10004425,0,30.80270004,96.24391937,197.4074097,0,8.502978325,9.922200203,69.89353943,0,1257,58,869,130,869,130,10,2739,2467.647705,86.14270782,0.178246453,1520.575195,78.35868835,1528.026611,18.98419189,7.959457397,3023.151855,5.565591335,22144,granulocytes,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Tumor boundary
18762,18762,10668,217772,reg058_A,reg058,A,1,992,1,29,58_A,165.0723877,154.1075439,236.2024841,568.0167847,108.5532227,3.452521563,223.8766937,763.0176392,2.136995792,37.6720314,13.60130405,122.7409363,34.882061,164.8134766,10.47321987,52.52144623,30.94474983,1.717047572,0.026211711,48.99249268,6.70400238,86.1855545,70.09810638,0.123573147,1880.397461,365.5093994,3.472858906,9.226984978,75.16442108,6.59221077,198.2058563,1.403978229,829.1895752,276.168457,1564.630005,55.27615356,20.77744102,58.16528702,0.166062176,74.90422821,0.980220497,11.8089571,57.03463745,347.3165894,0.148545295,8.571331978,7.224745274,57.8164444,0.125855833,1263,58,867,148,867,148,10,1394,2291.582275,58.47637939,0.280705154,3699.789795,11.58020973,479.71698,16.63291931,8.274745941,3601.509277,5.539322853,22144,granulocytes,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Tumor boundary
18763,18763,10668,217799,reg058_A,reg058,A,1,1019,1,29,58_A,546.8947144,392.5778503,349.2116699,655.5901489,0,90.32685852,641.9708862,553.3504639,59.9642868,325.0185547,13.06845379,670.8978271,346.9514465,101.8653107,79.00712585,365.0835266,38.09254456,873.3676147,2.516512632,53.57244873,53.56138611,581.9486694,69.6291275,0.371365696,3044.003662,374.0242004,25.17760277,263.9126587,37.51656342,203.7669373,123.2682343,3.0068326,573.1911621,114.3675537,1203.884521,0,0,19.70108986,0.098290175,31.76738739,11.83291531,206.4897766,417.9549561,92.84196472,0,11.69093609,672.1470947,44.61373138,0.069430575,1293,58,894,49,894,49,11,1017,903.4380493,29.47694206,24.80719948,1187.398804,10.49594784,0,19.92816925,0,1186.91626,6.091561317,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
18764,18764,10668,217807,reg058_A,reg058,A,1,1027,1,29,58_A,408.0224304,339.484375,617.2069092,277.1480408,7.09848547,28.58590317,279.8226013,434.9076843,6.264355183,108.5943604,17.06067467,524.5597534,281.4437256,188.3903809,12.43576717,135.9262695,28.65000153,676.5693359,0,39.92573929,0.159270003,230.0807343,63.63048172,0,4364.222168,575.0876465,0,39.6552124,74.09533691,42.0664978,181.3966217,12.07536983,350.1837463,521.6981201,8569.223633,80.37020874,0.362481505,162.1769409,1.015787721,71.54293823,0.547438145,64.85896301,312.387146,430.4699402,35.99160004,9.510608673,963.6560059,53.54081345,0,1308,58,902,106,902,106,9,2364,1837.302734,79.02173615,0,2076.186035,230.7685699,0,19.1768589,0,2001.956909,5.443076134,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
18765,18765,10668,217815,reg058_A,reg058,A,1,1035,1,29,58_A,509.8184204,385.046814,702.9354858,709.8022461,84.54555511,140.4037933,745.5073853,830.2099609,97.22080994,387.5662842,35.21195984,712.0593262,396.2245178,147.3542786,162.9822388,554.3759766,45.85417557,1314.543823,5.850667,67.33843994,99.73734283,726.9473877,83.30703735,5.597658634,4551.851563,630.5402222,55.18635559,233.8299713,113.8836136,213.6669617,204.6829376,36.80868912,1060.889526,434.8299255,5604.185059,72.36406708,0.968423665,130.2705688,0,73.23062134,44.2821846,246.1551056,424.1916809,113.2181244,362.5800171,11.08946228,976.2643433,55.57751465,0.011735554,1318,58,909,125,909,125,10,4027,1634.536865,46.59495544,53.89570999,2079.361572,51.16257477,311.3685608,21.33012581,3.408528566,2311.802734,5.887682438,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
18766,18766,10668,218463,reg058_A,reg058,A,1,1683,1,29,58_A,0,0,298.9255371,447.2457275,319.447876,0,59.50328445,1592.277832,0,15.70363712,3.40982151,174.7196198,43.29087448,112.7244492,0.835533082,1.11034441,12.97874546,23.19263077,0,26.84567261,0,47.94829178,69.67826843,0,4890.723633,932.8436279,0,0,163.7383118,0,215.0946503,0,522.1868896,514.3337402,7086.321289,168.6703796,5.293450832,209.4327087,34.54536438,212.5311127,66.70996857,83.92770386,126.7992935,383.5215759,0,14.13110828,17.90562248,89.97742462,37.44314194,2090,58,1357,212,1357,212,4,1738,3093.733643,105.0618439,0.003996802,5669.754883,189.0077057,4253.594727,20.82743645,25.15797997,4608.841309,5.515666008,22144,granulocytes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bulk tumor
18767,18767,10668,218500,reg058_A,reg058,A,1,1720,1,29,58_A,116.9712524,164.388092,861.1663208,762.5736084,110.3566055,1.377138972,232.5065002,1414.800171,0,50.10198593,48.33401871,141.5304565,57.9390831,275.5215454,1.733744025,54.04722977,46.21423721,160.321701,0,74.78987122,0,146.9849396,96.42436981,0,4917.845215,831.6132813,0,7.589322567,206.4380493,57.4503746,395.5174561,7.274469376,643.2210693,759.2340698,11903.06738,118.1115646,0.344969213,268.7364807,1.720054746,171.8631134,0.028747434,1456.749512,71.22792816,473.4873352,0,8.647501945,0.472963721,113.6769333,1.093771338,2129,58,1378,736,1378,736,9,1461,6520.304688,83.17727661,0,3448.794678,284.0253296,752.187561,23.34839058,12.27173138,8189.972168,5.403331757,22144,granulocytes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bulk tumor
18768,18768,10668,218596,reg058_A,reg058,A,1,1816,1,29,58_A,0,0,181.0867157,952.5444336,344.0805664,0,100.1438293,3096.362549,0,0,269.580719,104.9646988,33.18528748,282.1366272,0,0,21.41629219,19.39709091,0,53.61080551,0,207.8651123,135.5545502,0,8619.130859,1458.123657,0,0,281.3041077,0,496.3577881,0,1452.346436,1006.796875,5949.254395,219.7650299,0.116402268,14.19480038,1.538128972,231.0164337,3.717777967,0.568540633,3.011968613,567.8434448,1.627281427,4.552575588,2.202385426,121.2387924,2.39708209,2233,58,1432,911,1432,911,5,1647,7134.629883,116.4833069,0,12362.97461,8.989263535,5352.816406,11.34414101,16.9719429,7975.132324,5.471232414,22144,granulocytes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bulk tumor
